"","x"
"1","jawa punya titan ini gegara vaksin kemarin apa bijimane"
"2","abis vaksin dapet titan udud"
"3","aku beberapa hari lalu aku kalo disuruh vaksin gak mau dulu takut jadi titan

meamwhile kakakku barusan tet…"
"4","bukannya bersyukur itu vaksin gaada efek samping yg aneh aneh malah komen begitu<U+0001F621><U+0001F621> ntar beneran diturunin titan zombie dkk panik lo"
"5","vaksin belakangan aja tunggu semua org sekitar udah buat mastiin ga jadi titan"
"6","setelah vaksin 
jadi titan <U+274C>
jadi ackerman <U+2705>"
"7","semut titan nun setelah di vaksin kemarin"
"8","vaksin peama <U+2705>
moga aja ga jd titan haha"
"9","koe gek nganggo vaksin ben dadi titan"
"10","nder sehat ayo ke puskesmas terdekat sepeinya km kena vaksin titan"
"11","sudahlah mening disuntik vaksin daripada didenda sikaaat anjeeeng bismillah armored titan"
"12","kalo disuntik vaksin pengennya jadi titan apa"
"13","iya elu abis dapet vaksin dari pemerintah paginya lu jadi titan shifter terus bentukan titan lu kek g…"
"14","fuk cakwe makanan kesukaan aku kamu mau aku makan abis vaksin jd titan"
"15","dia mcm ni doq dia panggil vaksin sbb nantibila grisha yeager kene suntik dia jadi founding titan a…"
"16","titanvaksin
titintetangga gue"
"17","untung ackerman coba denis tybur bulan depan tak vaksin bcg ujug dadi warhammer titan dong"
"18","ok aku request vaksin titan kolosal plis"
"19","gw tadi masuk kampus orang orang pda ngomong vaksin dah gitu ada yang nyeletuk kemaren pada rame kalo vaksin itu…"
"20","kalo abis vaksin gue jadi titan mau"
"21","org indo sadar ga sih kalo selama ini kita bangsa eldia <U+0001F97A><U+0001F927> pantes aja banyak yg takut kalo disuntik vaksin bisa jad…"
"22","jadi mikir kalau ternyata nanti yg disuntik vaksin itu berubah jadi titan<U+0001F62F>

hmmefek nonton attack on titan"
"23","dimaklumi aja ko uwes vaksin titan koyone unila wkwk"
"24","haaah demi apaa jadi takut suntik vaksin nanti jadi titan"
"25","disuntik vaksin covid jadi beast titan"
"26","keren jg kalo abis vaksin jadi titan"
"27","maklum lah bang hoax yg bunyinya abis vaksin jadi titan aja ada yg percaya"
"28","pen suntik vaksin tapi takut jadi titan xmen deadpool dan mutant mutant lainnya"
"29","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …"
"30","coba tolong itu siapa si yg mulai bercanda abis disuntik vaksin jadi titan masih bisa bikin ketawa loh tiap selesa…"
"31","pas mau vaksin gua bakal bilang bismillah founding titan mau ngeratain dunia aja cape kebanyakan drama"
"32","mau di titan biar jadi vaksin"
"33","apakabar pervaksinan apakah kalau aku di vaksin kelak akan jadi titan tolong bantu jawab"
"34","a temenku besok vaksin vaksin ga ya
b vaksin aja
a tapi aku takut jadi titan
b 

kok agak kesel ya dengernya"
"35","mau di vaksin biar jadi titan"
"36","bismillah vaksin armor titan"
"37","gatau mungkin gara vaksin dia mau jadi titan kaya hulk ijo ijo"
"38","mungkin yang takut di vaksin abis nonton attack of titan"
"39","kok bgitu
apa vaksinnya beda<U+0001F633>
eh yg jadiin titan tuh vaksin ato apasih wkww"
"40","klu ikut aotgank vaksin bakal jadi titan"
"41","kalo ga dpt titan perintis aku vaksin lagi"
"42","gajetot bgt abang gua abis balik di vaksin tiba tiba ke kamar de liat nih gua bersisik bentar lagi gua bakal jadi…"
"43","sepeinya sudah ada yg jadi titan semoga vaksin cepat selesai"
"44","disuntik vaksin jadi titan awas lo ya"
"45","aku tak percaye vaksin bukan sebab ape aku just takot nanti dapat vaksin auto jadi titan jer"
"46","bar di vaksin dadi malik titan"
"47","masih manusia blm jdi titan blm vaksin soalnya"
"48","iyaa kujuga nemunya di facebook doang tapi itu juga emang dari page shitposting gundala di twitte…"
"49","bar vaksin ceritakn apa yg terjadi nek dadi titan kbar2haha"
"50","suntik vaksin sebenarnya ga ngubah kita jadi titan tapi ngejadiin kita klan ackerman"
"51","ambik lah vaksin tu tukar jadi titan abnormal tau la"
"52","efektif a psbb selama iki onok data a mengurangi penularan nganti 5070 apa kabar vaksin masio y…"
"53","oke bisa tinggal nunggu giliran di vaksin jadi titan"
"54","bisa wae siah mi apalagi sekarang vaksin udah muncul

bismillah attack titan"
"55","mimpi aneh disuntik vaksin tapi ga berubah titan<U+0001F606>"
"56","ajuin suntik vaksin aja biar jadi titan"
"57","semoga pas di vaksin dapet attack titan ataugak armor titan"
"58","dan menghancurkan dinding maria lalu menginvasi manusia dengan titan nya yg berubah karena vaksin corona<U+0001F62C>"
"59","vaksin tak percaya pil kurus percaya bagus"
"60","ngeringeri sedep khawatir disuntik vaksin ntar jadi titan"
"61","yang kemarin sudah di vaksin pada ga berubah jadi titan kan <U+0001F602>"
"62","dia nanya mau di vaksin ap nga mba kl sya mah gmau tkut jdi titan shsjshhs"
"63","kayaknya lg mau di doktrin dehlagian pemerintah jg lg bagi2 vaksin biar jadi titan wkwk"
"64","udah vaksin titan belom
kalo malah hah fix ga seru"
"65","urg geus vaksin titan bemoaleun wae kitu mnh"
"66","dlu dia di vaksin itu trus jadi titan"
"67","nobita bebas dari doraemon yang jadi titan gara2 ga suntik vaksin"
"68","gapapa jaga jaga klo abis vaksin ada yg jadi titan bisa numbalin soptul duluan buat ngelawan"
