"","text","emotion"
"1","jawa punya titan ini gegara vaksin kemarin apa bijimane","anger"
"2","abis vaksin dapet titan udud","surprise"
"3","aku beberapa hari lalu aku kalo disuruh vaksin gak mau dulu takut jadi titan

meamwhile kakakku barusan tet…","sadness"
"4","bukannya bersyukur itu vaksin gaada efek samping yg aneh aneh malah komen begitu<U+0001F621><U+0001F621> ntar beneran diturunin titan zombie dkk panik lo","surprise"
"5","vaksin belakangan aja tunggu semua org sekitar udah buat mastiin ga jadi titan","surprise"
"6","setelah vaksin 
jadi titan <U+274C>
jadi ackerman <U+2705>","surprise"
"7","semut titan nun setelah di vaksin kemarin","surprise"
"8","vaksin peama <U+2705>
moga aja ga jd titan haha","surprise"
"9","koe gek nganggo vaksin ben dadi titan","surprise"
"10","nder sehat ayo ke puskesmas terdekat sepeinya km kena vaksin titan","surprise"
"11","sudahlah mening disuntik vaksin daripada didenda sikaaat anjeeeng bismillah armored titan","fear"
"12","kalo disuntik vaksin pengennya jadi titan apa","fear"
"13","iya elu abis dapet vaksin dari pemerintah paginya lu jadi titan shifter terus bentukan titan lu kek g…","surprise"
"14","fuk cakwe makanan kesukaan aku kamu mau aku makan abis vaksin jd titan","sadness"
"15","dia mcm ni doq dia panggil vaksin sbb nantibila grisha yeager kene suntik dia jadi founding titan a…","surprise"
"16","titanvaksin
titintetangga gue","fear"
"17","untung ackerman coba denis tybur bulan depan tak vaksin bcg ujug dadi warhammer titan dong","surprise"
"18","ok aku request vaksin titan kolosal plis","surprise"
"19","gw tadi masuk kampus orang orang pda ngomong vaksin dah gitu ada yang nyeletuk kemaren pada rame kalo vaksin itu…","surprise"
"20","kalo abis vaksin gue jadi titan mau","fear"
"21","org indo sadar ga sih kalo selama ini kita bangsa eldia <U+0001F97A><U+0001F927> pantes aja banyak yg takut kalo disuntik vaksin bisa jad…","anger"
"22","jadi mikir kalau ternyata nanti yg disuntik vaksin itu berubah jadi titan<U+0001F62F>

hmmefek nonton attack on titan","anger"
"23","dimaklumi aja ko uwes vaksin titan koyone unila wkwk","surprise"
"24","haaah demi apaa jadi takut suntik vaksin nanti jadi titan","fear"
"25","disuntik vaksin covid jadi beast titan","anger"
"26","keren jg kalo abis vaksin jadi titan","surprise"
"27","maklum lah bang hoax yg bunyinya abis vaksin jadi titan aja ada yg percaya","anger"
"28","pen suntik vaksin tapi takut jadi titan xmen deadpool dan mutant mutant lainnya","sadness"
"29","sekarang ngejokes suntik vaksin bakal berubah jadi titan aja sampe diklarifikasi sama pemerintah buset …","surprise"
"30","coba tolong itu siapa si yg mulai bercanda abis disuntik vaksin jadi titan masih bisa bikin ketawa loh tiap selesa…","surprise"
"31","pas mau vaksin gua bakal bilang bismillah founding titan mau ngeratain dunia aja cape kebanyakan drama","anger"
"32","mau di titan biar jadi vaksin","sadness"
"33","apakabar pervaksinan apakah kalau aku di vaksin kelak akan jadi titan tolong bantu jawab","surprise"
"34","a temenku besok vaksin vaksin ga ya
b vaksin aja
a tapi aku takut jadi titan
b 

kok agak kesel ya dengernya","surprise"
"35","mau di vaksin biar jadi titan","sadness"
"36","bismillah vaksin armor titan","fear"
"37","gatau mungkin gara vaksin dia mau jadi titan kaya hulk ijo ijo","anger"
"38","mungkin yang takut di vaksin abis nonton attack of titan","anger"
"39","kok bgitu
apa vaksinnya beda<U+0001F633>
eh yg jadiin titan tuh vaksin ato apasih wkww","fear"
"40","klu ikut aotgank vaksin bakal jadi titan","surprise"
"41","kalo ga dpt titan perintis aku vaksin lagi","surprise"
"42","gajetot bgt abang gua abis balik di vaksin tiba tiba ke kamar de liat nih gua bersisik bentar lagi gua bakal jadi…","fear"
"43","sepeinya sudah ada yg jadi titan semoga vaksin cepat selesai","surprise"
"44","disuntik vaksin jadi titan awas lo ya","surprise"
"45","aku tak percaye vaksin bukan sebab ape aku just takot nanti dapat vaksin auto jadi titan jer","anger"
"46","bar di vaksin dadi malik titan","sadness"
"47","masih manusia blm jdi titan blm vaksin soalnya","surprise"
"48","iyaa kujuga nemunya di facebook doang tapi itu juga emang dari page shitposting gundala di twitte…","surprise"
"49","bar vaksin ceritakn apa yg terjadi nek dadi titan kbar2haha","fear"
"50","suntik vaksin sebenarnya ga ngubah kita jadi titan tapi ngejadiin kita klan ackerman","surprise"
"51","ambik lah vaksin tu tukar jadi titan abnormal tau la","anger"
"52","efektif a psbb selama iki onok data a mengurangi penularan nganti 5070 apa kabar vaksin masio y…","fear"
"53","oke bisa tinggal nunggu giliran di vaksin jadi titan","surprise"
"54","bisa wae siah mi apalagi sekarang vaksin udah muncul

bismillah attack titan","anger"
"55","mimpi aneh disuntik vaksin tapi ga berubah titan<U+0001F606>","surprise"
"56","ajuin suntik vaksin aja biar jadi titan","surprise"
"57","semoga pas di vaksin dapet attack titan ataugak armor titan","fear"
"58","dan menghancurkan dinding maria lalu menginvasi manusia dengan titan nya yg berubah karena vaksin corona<U+0001F62C>","sadness"
"59","vaksin tak percaya pil kurus percaya bagus","anger"
"60","ngeringeri sedep khawatir disuntik vaksin ntar jadi titan","surprise"
"61","yang kemarin sudah di vaksin pada ga berubah jadi titan kan <U+0001F602>","surprise"
"62","dia nanya mau di vaksin ap nga mba kl sya mah gmau tkut jdi titan shsjshhs","sadness"
"63","kayaknya lg mau di doktrin dehlagian pemerintah jg lg bagi2 vaksin biar jadi titan wkwk","sadness"
"64","udah vaksin titan belom
kalo malah hah fix ga seru","surprise"
"65","urg geus vaksin titan bemoaleun wae kitu mnh","joy"
"66","dlu dia di vaksin itu trus jadi titan","surprise"
"67","nobita bebas dari doraemon yang jadi titan gara2 ga suntik vaksin","surprise"
"68","gapapa jaga jaga klo abis vaksin ada yg jadi titan bisa numbalin soptul duluan buat ngelawan","surprise"
"69","another statement freak wkwk vaksin dari dl fungsinya baik ya buat herd immunity masih aja…","disgust"
"70","aku lagi pake ipin habis di suntik vaksin jadi titan nder<U+0001F600><U+270A>","surprise"
"71","kebayang ga pas disuntik vaksin ternyata itu isinya cairan zirah dokter grisha yeager terus sedunia jadi titan semua seru keknya <U+0001F631>","surprise"
"72","ujian agar dapat vaksin titan","surprise"
"73","vaksin corona bisa jadi titan
hai frensss jadi aku ada tugas uas dan diminta up ke instagram soal literasi media…","disgust"
"74","mending mabar pejabat disuntik vaksin titan","surprise"
