"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@aotfess jawa punya titan? ini gegara vaksin kemarin apa bijimane???",FALSE,0,"aotfess",2021-01-23 11:04:07,FALSE,"1352934218658050050","1352935136984109058","1261296577085181953","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rivaiackreman",0,FALSE,FALSE,NA,NA
"2","@rentetanretet Abis vaksin dapet Titan Udud",FALSE,0,"rentetanretet",2021-01-23 11:03:27,FALSE,"1352885843942236161","1352934969732042754","1286253514037968896","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ditadiit_",0,FALSE,FALSE,NA,NA
"3","aku beberapa hari lalu: ""aku kalo disuruh vaksin, gak mau dulu. takut jadi titan.""

meamwhile kakakku barusan: ""tet… https://t.co/qyoBigDlxO",FALSE,0,NA,2021-01-23 10:52:30,TRUE,NA,"1352932214762168321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sayabukanica",0,FALSE,FALSE,NA,NA
"4","bukannya bersyukur itu vaksin gaada efek samping yg aneh aneh, malah komen begitu<U+0001F621><U+0001F621> ntar beneran diturunin titan zombie dkk panik lo",FALSE,0,"dinosauwrus",2021-01-23 09:36:54,FALSE,"1352912621691838465","1352913189567008769","1690415437","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dinosauwrus",0,FALSE,FALSE,NA,NA
"5","vaksin belakangan aja, tunggu semua org sekitar udah buat mastiin ga jadi titan",FALSE,0,NA,2021-01-23 07:33:47,FALSE,NA,"1352882202342658049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fxckurbadvibes",0,FALSE,FALSE,NA,NA
"6","Setelah vaksin 
Jadi titan <U+274C>
Jadi Ackerman <U+2705> https://t.co/eiUm1D8WQB",FALSE,1,NA,2021-01-23 05:16:28,FALSE,NA,"1352847646516371457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PurplePiw",0,FALSE,FALSE,NA,NA
"7","@KM_JIMIN00 Semut titan nun, setelah di vaksin kemarin.",FALSE,0,"KM_JIMIN00",2021-01-23 04:57:20,FALSE,"1352842520099602433","1352842832633946112","1352748009298096128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KM_MINGI02",0,FALSE,FALSE,NA,NA
"8","Vaksin pertama <U+2705>
Moga aja ga jd titan haha",FALSE,0,NA,2021-01-23 04:47:20,FALSE,NA,"1352840317796380672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rosyidico",0,FALSE,FALSE,NA,NA
"9","@maitreeya_ Koe gek nganggo vaksin, ben dadi titan",FALSE,0,"maitreeya_",2021-01-23 04:37:23,FALSE,"1352833433693691904","1352837813004197889","491001664","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roisulumam_",0,FALSE,FALSE,NA,NA
"10","@aotfess NDER SEHAT? AYO KE PUSKESMAS TERDEKAT SEPERTINYA KM KENA VAKSIN TITAN",FALSE,0,"aotfess",2021-01-23 04:14:00,FALSE,"1352826319323631616","1352831925291945984","1261296577085181953","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urpixiedustx",0,FALSE,FALSE,NA,NA
"11","@abibubebo sudahlah mening disuntik vaksin daripada didenda, sikaaat anjeeeng bismillah armored titan",FALSE,0,"abibubebo",2021-01-23 04:04:47,FALSE,"1352827430851907584","1352829606714200072","279759869","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isalxmonkey",0,FALSE,FALSE,NA,NA
